Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/19/2016,14.5,15,14.5,15,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/26/2016,14.5,15,14.5,15,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,09/24/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/01/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/08/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/15/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/22/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/29/2016,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/05/2016,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/12/2016,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/19/2016,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/26/2016,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,09/24/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/01/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/08/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/15/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/22/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/29/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,11/05/2016,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2017,16.5,18,16.5,16.75,TENNESSEE,,,,,,,,,,,N,
