score,review
1,"Good: Located pretty much in the middle of town, this is central to everything you'd need in Flagstaff.  It's a short walk to the best restaurants, and the atmosphere on the street is great.. while you're part of it...

Bad:  The walls are paper thin....More"
4,"My sister and I stayed here for 3 nights.  The hotel is in a good location, within walking distance to The main street.  First opinion was very nice.  The rooms are fine, even though the bathroom sink is in the bedroom part but it does...More"
4,I have always wanted to spend a few days in one of Flagstaff's historic hotels and was very happy with our choice of the Monte Vista. It is a beautiful building yes old but that is the point right? The staff was friendly and they...More
5,"Nothing like staying in a cool hotel rumored to be haunted in a cool town.  The atmosphere of this place is awesome; locals and tourists alike fill the lobby and bars, the hallways are full of stories, and the staff is great.  Our room was...More"
3,"If you are a fan of historic old hotels, you will enjoy the ambience of the front desk and lobby/coffee shop area.  However, old Arizona hotels also means tiny rooms with tiny bathrooms.  The fourth floor facing north has decent views."
2,"This place is all HYPE and no substance. I get it, you're old and haunted. Great. Now how about your clean your sink drains because they don't drain and have hunks of the grossest stuff imaginable in them! Also, it is abnormally hot in AZ,...More"
4,"Flagstaff is full of bland chain hotels. The Monte Vista is far from that crowd. Right downtown in the middle of the action. My sister, my husband and I shared a two bedroom suite. The rooms and bathroom were small but adequate. Fans and air...More"
1,"I was shocked when I went into my room, it was tiny and filthy.  The shower was 2'x2'x2' - impossible to bend over and had almost no water pressure.  The bathroom sink was in the bedroom next to the bed.  The closet was about 6""...More"
4,"We stopped in the bar while walking around downtown Flagstaff.  Totally cool vibe, with locals, bikers, hipsters, etc.  We were greeted right away from the bartender, who had a great smile!  We felt welcomed and enjoyed a cool beverage while people watching from the huge...More"
2,"The best I can say is this hotel is in the center of the historic district, within walking distance of many bars and restaurants. If you are under 30 and into the bar scene and just fall in bed oblivious and nothing wakes you up,...More"
4,"The Monte Vista is situated in downtown Flagstaff surrounded by all sorts of quality restaurants, intriguing stores, and beautiful outdoor surroundings.  It's an older hotel with lots of unique characteristics of the era that it was built in.  I'm happy to note that the owners...More"
2,Would liked to give this a better review had a 4th floor room with a great view nice location but the bars on the first floor are crowded and loud till the early morning came back from a day at the Grand Canyon only to...More
5,"Heading for Phoenix, a coffee in Flagstaff, and there at the end of the street was the Monte Vista. Great staff, helpful check in, the room was over all clean and spacious, (could be dusted a bit better the top of the alcove in the...More"
5,"We arrived by rail, 2 hours and 45 minutes late.  So happy these neon lights were lit up and waiting for us.  Awesome room, newly remodeled and very comfortable.  Staff very knowledgeable of town and helpful."
2,"Not a fan. Our room was uncomfortable,small and very outdated. No ventilation in the tiny bathroom. The tiny sinks sits in front of the bed. You need to crank your head to view the TV. Just bad. I would not come back. Location is nice...More"
3,"Very reasonable priced, clean and unique hotel. Stayed two nights and would come back again. If you're looking for the Hilton not your place, but if your looking for an old time hotel, that's clean, friendly, walking distance to train station, restaurants and downtown stores...More"
5,"The Hotel Monte Vista is in the historic district of Flagstaff. It was a fun location, with lots of opportunities when on foot. The hotel itself was wonderful. The staff were friendly, the room was clean and many are named after celebrities that stayed in...More"
3,"This old historic downtown Flagstaff hotel is conveniently located in downtown Flagstaff. We stayed in the Bob Hope Suite. In past years, many celebrities have stay here like Bob Hope, Bing Crosby, etc. There are also claims of ghost sightings. Though we did not see...More"
4,"Great place. Comfortable, with a very energetic beat. Rooms are dated, but clean and well laid out. No coffee makers/mini-frigs, etc, but good excuse to get out and enjoy local flavor. Coffee is available at lobby bar, which is very pleasant. Caroline at the front...More"
4,Nice to see that the hotel has been renovated and operating as this is an historic building with lots of character. The upper three floors are hotel rooms and the first floor is a focal spot for lots of young people enjoying the night in...More
5,"This historic renovated and supposed haunted gem turned out to be a home run!
I must admit I was a bit leary when my husband booked this for an upcoming trip.
But once we arrived and I saw the ornate details that have beenrestored within...More"
1,"We had friends stay here before and liked it, so we booked in for 2 nights - Friday and Saturday.  The rooms were clean and themed, kind of small but standard amenities so looked promising.  Friday night we came back from dinner and found the...More"
4,"Very close to the Amtrak Station. Great rooms and a very friendly bar. Very nice staff and we had a good nights sleep on both nights, very close to some great places to eat  We did stay in two different rooms on our stays"
5,"Classic early 20th Century western hotel, sited in lively part of old Flagstaff.  Comfortable rooms, coffee bar and regular bar in lobby.  Lively nightlife in area (somewhat noisy).   Great historic photos in lobby.  Helpful staff."
4,"We stayed here the day after Christmas so it was a busy time, at night a little noisy with people partying (doesn't really bother us but if it is an issue for you ask for a room away from the street.) We stayed in the...More"
4,"My wife and I were on our way to the Grand Canyon and decided to stay one night enroute in  Flagstaff. After reviewing hotel options, I decided to book a room at the Monte Vista in old town Flag.

For someone expecting a resort level...More"
5,"my girlfriend and I stayed here in the fall and were on the top floor "" Air Supply"" room. Rooms have always been pleasant and clean in my experience and it's nice to see a hotel that has some personality."
1,Over priced. Very noisy. No House guest parking. No breakfast option. Staff functioned but seemed disinterested. Room small but nice and bright. Black gunk came out of the Spa bath when operated. Better places in Flagstaff than this one.
4,"Old Hotel in the Middle of Downtown Flagstaff. Lots of History there. I stayed in the John Wayne Suite on the 4th Floor. 3rd and 4th Floor rooms recommended, due to noise from Bar/band on Friday on First Floor. The Suite was nice as that...More"
3,I always like to stay in historic hotels & this one did not disappoint in that aspect. It is where you need to be to shop with a variety of restaurants nearby. The parking area is really small so you may have to park on...More
4,"My boyfriend and I stayed at the Hotel Monte Vista for one night and had a really great time. How could we not stay in a haunted hotel? 

Well, we didn't get to stay in any of the fabled rooms. As far as I know,...More"
4,"This hotel more less stands at the centre of the older part of Flagstaff and is an imposing redbrick building from the 1920s, replete with bars and pool room There are music nights here and the lobby and public rooms feel quite authentic. Our bedroom...More"
3,We stayed in this hotel on a Thursday night and were extremely pleased with the room we were assigned.  It was on the 4th floor and the hotel clerk said it would be quiet because it was facing San Francisco Street.  I thought that was...More
5,"Great historical property with tons of charm and character. Very lively bar and lounge, obviously a local favorite. Stayed in the Freddie Mercury room in the 4th floor and found it very comfortable and clean with details like wood molding and doors, period furniture, etc....More"
5,"What a wonderful experience!  This historic hotel fits right into the old town atmosphere of downtown old town Flagstaff.  The bar, lounge and lobby are warm and inviting.  Each room is named for one of the characters that made it famous.  Our room was the...More"
4,"Great hotel if you're on a road trip

Plenty of character and in the historic town centre. 

The rooms are a bit dark and not too spacious. no wardrobe to hang your cloths but heyho we're on a road trip and looking for laid back...More"
3,I stayed at the Monte Vista on a Saturday night on a weekend that I was visiting my daughter at NAU. We stayed in the Presidential Sweet. The Monte Vista is a really interesting old hotel and a great place to stay. The hotel is...More
5,"We stayed at the Monte Vista for two nights and greatly enjoyed our stay. The history of the hotel and the other surrounding buildings was fascinating. There are a ton of great local eateries and bars all within walking distance. Parking is a little tight,...More"
5,"Come on, this is not a Four Seasons/Ritz kinda place. This is a funky, sorta restored, rustic old hotel in the old downtown area of Flagstaff. It is a place to enjoy history - a true throwback to old West & mountain days, convenient to...More"
3,"Three friends stayed at the hotel after visiting Antelope Canyon and Horseshoe Bend in Page, AZ. The hotel brags of being 'haunted' so we had to stay here!! And in the Presidential Suite no less! What a fun experience! We then went down to the...More"
3,We stayed at the Hotel Monte Vista for 2 nights as we explored the Grand Canyon. It was fun to stay at a place that had a lot of character and avoid the typical hotel chains. We stayed in the Debbie Reynolds room on the...More
4,Enjoyed our stay and perfect location to explore downtown Flagstaff. Comfortable room with some neat updates. Bathroom needs some hooks to hang clothes/towels. Brewery to the south had nice craft beers and nice menu.
3,"I stayed a couple of nights at the Monte Vista, I was a bit non-plussed about the named rooms. I was in the one dedicated to Air Supply and I thought they put me in the Janitors Closet. It was fine though and on the...More"
4,"OK, so the room wasn't that great, It was clean, however.  The carpet in the public hallway and stairwell was dirty and it made us a little concerned until we saw the room.  The front desk staff person was very nice and very helpful.  We...More"
3,Stumbled on to Hotel Monte Vista on a road trip with my girlfriend more or less by accident as we didn't even really have a plan to necessarily stay in Flagstaff. The hotel itself is relatively nice. Very retro and true to its origins. The...More
3,We were thrilled to get parking right by the hotel in their little parking lot next to the bar. Check in was uncomplicated and I liked that we were given detergent and fabric softener when I said we needed to do laundry. The reason for...More
4,"It is not a fancy hotel but it's really charming. Simple in its structure and services, will make you feel part of the route66 history. The room we had was nice and clean and with some charm. I'd not recommend the breakfast in the hotel,...More"
4,"Booked in here today late afternoon, nice hotel but not by any means Vegas standards, But , quaint , clean , and really everything you might need, and the bar downstairs is excellent, fab bar staff and an exstreamly nice place to be, as is...More"
5,"The Hotel Monte Vista is a 'must stay' if in Flagstaff. Built in the 1920s, the hotel has plenty of character and stories (true or otherwise) about it. It allegedly had a 'speakeasy' in the basement during prohibition and several of the rooms have ghostly...More"
4,Loved this hotel. Even though hotel was built in the 1920's it was very comfortable and clean. I stayed in the Anthony Hopkins suite with 1 queen bed and private bathroom. Price was reasonable for a weekend in summer. My bed was very comfortable and...More
3,"We love the location of this place and it's old timey charm. Each room is different and vastly differs from the next. The cocktail lounge, bar and coffeehouse located on site are always fun with great service and the ""hauntings"" always add a little extra...More"
3,"The hotel is great for things in the downtown Flag area...super easy walking distance to local bars and restaurants.
We stayed in room 407 and knew it overlooked the street - ie Monte V lounge. If noise bothers you...pick another room/side. We loved hearing the...More"
4,This was my third stay at the Monte Vista over the course of 15 years. I love it most for its location in the heart of walkable downtown Flagstaff. It's 100 years old (but updated) with a rich and varied history apropos of a small...More
4,Stayed here for a night in April of 16 - really enjoyed our stay. We stayed in the Bon Jovi Room which was funny being I am from NJ- Cool old style room...Not much to do in Flagstaff tho....Stopped here from GC on way to...More
4,"My husband and I stayed one night at The Hotel Monte Vista. Our experience was a good one and I was happily surprised that there was an AC unit in our room (307, Debbie Reynolds)! The two bars downstairs and downtown location made for the...More"
4,"When I booked this hotel, I asked about parking. I was told they had a small lot and there was on street parking.
When we got there, the tiny lot for the hotel also served the bar and it was full. I called again and...More"
5,"We had a great stay at the Hotel Monte Vista.  Clara at the front desk and Steve Kaufman were very friendly.  We stayed at the Monte Vista on an excessively hot weekend with record heat, but were comfortably cool in our room.  Definitely stay on...More"
5,Due to a travel agent mistake we were in Flagstaff without a hotel and it was just incredibly fortunate that we saw this hotel. It is really old-fashioned and quaint and has an amazing atmosphere. There is a great bar which is buzzing the whole...More
2,"I get this is a very eclectic and historic hotel, but that's really no excuse for bad service. I wasn't enamored by the lack of AC and basic creature comforts found in most budget motels, but when it came to housekeeping...this was ridiculous.

I left...More"
5,I absolutely love this hotel.  So charming and so much history.  It fits perfectly with the flagstaff vibe.  Two bars in the hotel and a coffee shop.  Walking distance to tons of bars and restaurants.  Wouldn't stay at any other hotel next time I visit...More
5,"Located in the center of downtown Flagstaff, this is a historic and cool hotel to enjoy.
Near all the restaurant and bars, I really recommend it. This was our 3 time in Flagstaff, but this time we can get reservations in this hotel. we drop...More"
4,"This place is located in the middle of the historic downtown, which is perfect since you can just walk down street for dinner, and go bar hopping, if you'd like. 
Parking lot is small, it is true, but I haven't had problem finding a spot....More"
4,"We love going to our favorite, haunted hotel. And yes I have experience some kind of a supernatural event, however it was only in my last visit after years of no such encounters. I felt a light squeezing of my throat during my sleep that...More"
5,This my favorite hotel in Flagstaff! Location location location for dining and going bar hopping.  The rooms are clean and very different from one another.  The beds are always extremely comfortable! I love looking out the room windows and people watching.  This is a real...More
5,My wife and I had something going on in Sedona last Saturday morning.  We chose to stay in Flagstaff because we never had and it was close to Sedona.  We like the more classic hotels then the more popular chain hotels. We had read a...More
3,"All of the times that my wife and I have traveled to or through Flagstaff, we have always stayed at other places.  I've always wanted to stay at The Monte Vista or the nearby Hotel Weatherford, however.  So during a recent trip up to Lake...More"
2,"Loud, No amenities, way over priced! There are better Hotels/Motels in the area with the hotel amenities one would expect. Motel 6 is even better than this place. There's hardly any parking. People going to the bar in the hotel can take up the parking...More"
3,"My room was nice, the hotel is historic, and the cafe downstairs is great, but don't choose the option of a shared bathroom - there were 2 tiny bathrooms for the entire floor, and they were very dirty, with hairs, used soap, used towels and...More"
4,I liked the ambiance and location. It was a little hard to sleep because of noise from the bar. Next time I'll try asking for a room as far away from that area as possible. The restaurant was good and the front desk was helpful.
4,"The hotel is old, but full of old time charm! Amenities were fine and everything worked.  We went to the bar around 8:30PM on a week night and it was packed with locals and tourists alike.  Great atmosphere and met some terrific people.  Everyone was...More"
3,"Great location, right in the heart of Flagstaff downtown.  You can walk everywhere.  The room was clean and comfortable.  The big negative is there is two bars attached to the hotel, great for getting a drink, but the noise lasts all night long.  People are...More"
4,Came to check out Flagstaff with my daughter and knew I wanted to make it interesting and fun!  I choose to stay here because of its history and charm.  I read the negative reviews and knew what I was getting myself into.  I had no...More
4,"Fast check in, wify work good sometimes not super clean but ok, it was a suite and  they only put me two bath towels and we are 4 . there is little space to put your tooth brush comb etc etc. it is an old...More"
4,"Since there were four of us we needed a double room. The room itself was spacious and comfortable. Walls and furnishings were shades of deep green, giving it a warm, soothing feeling. Beds were firm and comfortable, although we found the pillows a bit overstuffed...More"
5,This motel is a great historical place to stay.The rooms are nice and comfy. It is located right downtown and so you are in walking distance for great places to shop and eat. There is a cocktail lounge for you to sit and enjoy a...More
5,"Ok, if you want a typical hotel, do not stay here! This hotel is for people who want to experience Flagstaff!! The hotel room has old carpet, an old rocking chair and an old dresser...and it was great! The bathroom was small, who cares?! If...More"
3,"It is what it is. Older Railroad Hotel. I was a little leery of the Hotel after reading some of the reviews, but I am coming to the conclusion that a lot of people are just whiney. We went to Flagstaff to see Jesse Cooke...More"
4,"Hotel Monte Vista is right in the heart of downtown Flagstaff. You're surrounded in every direction by restaurants, coffee shops, bars, stores, and activities within walking distance. You can get to two solid establishments downstairs without ever even going outside. The rooms themselves have a...More"
4,"We actually live in Flagstaff, we stayed a night so the girls could look for ghosts.  No ghosts were found but they hotel and bars continue to be places with an incredible amount of character.   A classic historic hotel."
3,Did not stay but took a good look around as the locals say it was one of the first hotels to go up. Considered briefly staying but did not want to double book hotel rooms for the sake of experience. Driveon by and look.
5,We stayed here for 12 days over the recent holidays.  Just so you know; our son manages the Rendezvous bar; which is a very good bar.  Everyone who works here went above and beyond to makes us comfortable.  We spent a number of these nights...More
5,"This bar is so great! The employees are happy, fun, and provide great service. After wasting our time at the Gopher Hole, we ended the night at Monte Vista and had a great time! It has a great ambiance and the stage is always perfect...More"
5,"I usually have no interest in haunted places but this one got me. The place apparently has several ghosts. There are a couple of stories regarding the third floor and I got an eerie feeling when we walked up there. Believe me, these things normally...More"
4,Great location in downtown Flagstaff. We truly had a fun evening exploring the area while walking. It is an older hotel but it has a lot of charm. We stayed in the Humphrey Bogert Room and each room has a theme. There are two bars...More
3,"We stayed one night (Nov 23rd, 2015) - just passing thru Flagstaff.  The room we stayed (#310) was tiny, but equipped with everything needed. The bathroom was super tiny, so much so that the sink is outside the bath in the main part of the...More"
4,"Stayed with my boyfriend as part of our US road trip for 2 nights. Lots of history, cool bar with great service,  also a gig venue serving till late. Receptionist very helpful as we arrived late on Sunday and she recommended somewhere to eat and...More"
1,"Daughter had a tenth anniversary stay planned at Hotel Monte Vista.  Parking lot is a nightmare to figure out where you are supposed to park.  Parked her car to go check in.  Was told that she couldn't park where she had, as she went out...More"
3,"I liked Flagstaff Very Much.

We wanted to stay here as this is noted on Route 66 as a good option.

Okay the room was tiny and the bathroom was the size of a utility cupboard, but we didn't expect to be in the room...More"
4,"After reading the reviews on this hotel ,wasn't sure what to expect. When we arrived ,was met by the most wonderful staff .And they were wonderful the whole of our stay. DONT,,stay in this hotel if you are looking for modern look ,but if you...More"
3,Friendly  service in the bar. Great coffee  drinks  as well as a full  bar.  Big windows  with high seat to watch  the world  walk by and meet on the corner.  Didn't stay in the hotel but it is very historical and centrally  located in the...More
5,"This place is hands down my favorite hotel in Flagstaff. Generally good pricing. Choices between bedroom with own bath, or bedroom with a bath shared by the whole floor ($30 dollar price difference usually). I always go with shared bath because it doesnt make much...More"
3,"The hotel was charming with its old character, but was unable to get any sleep as the noise from the bar below was noisy, and the police outside the hotel below our window breaking up a disturbance, then what sounded like some of the employees...More"
3,"The bed was comfortable, room was good size and the bathroom had its difficulties. Apparently this room was deemed the meat man room. My ex isn't big on the paranormal, however I am. We didn't really do any investigating but we did a lot of...More"
3,"OK, this is a very old hotel that has some charm, the rooms have hardly changed which adds to the charm but they are not to the modern day hotel rooms we have come to expect. So this is a hotel that is popular with...More"
4,"The location is great and parking right around the back.
Cute coffee shop down stairs on the corner
Clean and tidy
Staff are friendly and helpful
The property is old but it is well maintained.
The management don't advertise it for anything that it isn't,...More"
2,We looked for a central location and settled on the Hotel Monte Vista. We found it comparatively pricey for the room. The AC is not up to the job and the toilet cistern in our room leaked water all over the floor. I would have...More
4,"As mentioned - location is great. Near anything you need to get to in this town.
Lobby bar is great; pricing and service.
Downstairs bar not so much. Cocktail servers linger at the bar, bartender walked past us with nothing in front of us at...More"
4,"Wanted to see this historic hotel, which has housed the rich and famous. Desk staff told me I couldn't take pictures, which is too bad since there are some good photo ops for the 1920's style hotel and lounge. Comfortable lounge area in front with...More"
2,"October 9th my friend and I stayed the night. The hotel is located off San Francisco St. The hotel is located close to many shops, restaurants and bars. My friend was the one who booked the room. I was excited to stay considering I have...More"
2,"Drywall cracking, olde tyme posters look like they have dust from the 70's, light emitting windows with lackluster fabric drapes, middle of the night noise disturbing sleep, and inattention to details makes this place avoidable. It could be fun to locate yourself in the middle...More"
5,Hotel Monte Vista is in downtown Flagstaff. Many restaurants are within walking distance. Hotel is old however the room was clean. Recommend staying on the fourth floor since there is a bar on the ground floor.
1,"First their web page is misleading.  This is a party hotel  I stayed their this past MONDAY night the barS yes BARS, stay open till 2 am.  The college students jammed the place full and they are loud, there is no restaurant, they turned it...More"
5,"We have stayed at the Hotel Monte Vista several times now and plan to stay there on every trip we take to Flagstaff.  The location is perfect for those who want to explore Flagstaff's historic downtown on foot, with lots of shopping, restaurants, and nightlife...More"
1,I emplore everyone to listen to the trip advisor reviews for this hotel. The Monte Vista has more 1 stars than 5 stars and this is for a reason. The rooms are ridiculously small and everything about them are as such from the bathrooms to...More
4,"Sweet old hotel in bustling old downtown Flagstaff. Tons of restaurants and stuff to do nearby, quirky clean room with cable TV and mediocre Internet. Limited parking, but the staff was very accommodating. We requested a room away from the lounge and nightlife, and although...More"
5,"This is a great old hotel but don't think you're getting every bell and whistle at a five star hotel.  The rooms are funky with small bathrooms and showers but it has character; character, character.   Located downtown close to virtually every place you would want...More"
4,"My brother lives in Flagstaff, this was my first visit. I was given choice by my mom (who paid) did I want grand historic or conventional hotel. I am so glad I choose grand historic. It was in the center of everything. The service was...More"
4,"The hotel is a beautiful old building with a great big neon sign on top of it. There's nothing fancy about the place - if you're looking for anything more than clean, affordable 3 star accommodation, the Monte Vista probably isn't for you. If you're...More"
2,"Having grown up in Flagstaff, and as one who enjoys downtown flagstaff, thought it would be fun to stay downtown during a trip to visit family.  Big mistake.  Super loud party downstairs in bars downstairs very late.  For the rates, the towels are postcard stamp...More"
5,"This hotel is better than in the pictures online! The employees are great and the areas ambient is young and full of energy! Love this part of Flag and love this hotel! 
Tips: there are no ice machines but bar downstairs gives you if you...More"
3,"We stayed at the Hotel Monte Vista for one night to get away from the heat of mid-summer Phoenix. It is a great example of early 20th century Americana (think classic Route 66, built in 1926.) The town of Flagstaff is well worth the trip....More"
2,"While the location and the charming lobby were very appealing, the room we had was shabby, poorly maintained and required the intervention of the Manager to fix and make work several items (lights, television). We requested extra hangers and had to ask multiple times. The...More"
1,"the room was refurbished but with a washbasin too small to use, the room was dusty in places,(window area TV set etc.). If staying check where to park as we were not given details and ended up paying $150 to unclamp our hire car. We...More"
5,"Everything about Hotel Monte Vista is wonderful. As soon as we walked into the lobby, we felt like we had entered another era. Every staff member was extremely courteous and helpful, including the staff at the coffee/bar, ""Rendezvous"" (which has amazing coffee and a great...More"
4,"Although charming, this hotel is very, very old. Room was very clean and we were happy to see an air conditioning unit inserted into our window because Flagstaff was experiencing some extreme high temperatures during our stay. Small parking lot so get there early enough...More"
1,"Went up for a concert and booked two rooms, one for us and one for the kiddos. Chose this hotel due to the downtown location. Woke up around 5:30 am to something crawling on me. I sat up and saw a little bug in the...More"
3,"We prefer historic hotels.  Flagstaff has only two or maybe three historic HOTELS, the rest are 1950's MOTELS or the modern line-up of travelers hotel/motels.  The Hotel Monte Vista has been our choice when seeking to be downtown for the activities OR when we are...More"
3,"And by frills I mean central air conditioning. The rooms are named after people who stayed there. Ours was named for a whiskey, Jack Daniels. It was two rooms, with a double bed each, joined by a jack and jill bathroom. It was noisy at...More"
1,The staff was rude and not helpful. The air conditioner was loud and woke me up in the middle of the night. The carpet was dirty and just gross. The only positive feature the hotel has going for it is the location.
4,"Loved the room and location, however the bathroom was under par. The shower was exceptionally tiny and became a nuisance. The sink was in the room and had no where to put anything. The window unit ac was chugging along and probably would not suffice...More"
4,Stayed here on a Thursday night on our way to the Grand Canyon. Hotel is in a perfect location for walking around to all the bars and restaurants. It's a historical hotel and had that ambiance to it. Had room 217 which was off the...More
4,"We stayed at this hotel one night and while it's not a five star experience, it was a fun and memorable stay.  The rooms are weird but they are clean.  We didn't see any ghosties - location is in the heart of historic downtown so...More"
5,"This hotel was on point. Each room is named after a famous or notable person, and an employee walking by was happy to give us a brief history of ours. We stayed in 210, which is a corner room overlooking San Francisco and Aspen. Anyway...More"
3,"We stayed 2 nights in the Bob Hope suite.  It's two bedroom with one bathroom.  The beds were comfortable, the room was clean but old furnishings.  It was an interesting place.  I found the front desk not to be friendly or very helpful.  The coffee...More"
3,"We just got back from our stay at the monte vista for a night in 412. Sure the place is old, but it's also oozing with charm.  Granted I've looked at some room pictures on here and think you have to opt for a pricier...More"
4,This purportedly haunted historic establishment does have an aura conducive to ghostly aberrations. The 5 story hotel built in 1928 is situated in the heart of Flagstaffs historic district and has all the appurtenances needed for ethereal appearances. Walking into the Monte Vista is like...More
3,"My impression of this hotel started when I called to book it a few days out. The front desk clerk was less than friendly and polite. When she gave me a rate for a one-night stay, I told her I had the hotel website up...More"
1,"Stayed here for one night. I was ok with no bath in the room, even though we had to pay $90. Hotel lobby is charming -- supposedly haunted! -- staff very friendly.
We stayed in room 208. As soon as opening the door, we were...More"
4,"This place was wonderful. Our experience, we had very attentive service. The price points were completely acceptable and they have deals running from time to time. Its historic ""haunted"", and connected to bars, coffee shops and clubs. It's in a great location. The rooms have...More"
4,"This is an old fasioned dowton hotel.  Our room was a king room with plenty of space.  The bathroom was tight.  Parking is around the corner, and you may have issues parking on a busy day.  But parking opens up in the evenings."
3,One night stay here. Unfortunately no ghost. Stayed on the street side which was a mistake. Very loud. Awake and multiple times during the night. staff were polite . parking is a problem.    comfortable otherwise
4,"We stayed for a night with my family. We had a clean room with nice decor. The hotel is a historic place with a fun and unique lounge atmosphere. I enjoyed the place so much and would love to stay again. Despite apathetic staff, this...More"
4,"If you want a Hilton stay there don't come here for the homogenised modern hotel go the Monte Vista for something very different indeed
Staff were helpful bar was busy but service was good 
Would I stay again absolutely and would try any of the...More"
4,We drove by all the chain motels on our way into Flagstaff from the airport and I'm glad we booked into the Monte Vista. It has character and history and is located right in the middle of the historic area of Flagstaff.
3,We stayed here Friday December 19th in the Clark Gable room. The lady at check in was very attentive and helpful check in was quick and efficient. The room was large as others have reported the bathroom was small but clean and everything worked! The...More
1,"We stayed here for 1 night after a road trip to the Grand Canyon.  Poor service at check in. Wifi didn't work when we first arrived and was very spotty the next morning, when we commented on this at check out we were told that...More"
1,"We recently stayed one night on the recommendation it was close to the Orpheum theater, where we had tickets for a show. That's the only plus. The carpets were not only stained, but looked like they had not even been vacuumed. The pillows must have...More"
3,"We stayed at the Hotel Monte Vista for one night while traveling from Phoenix to the Grand Canyon.

The room (407) was pretty spacious and included a king-sized bed (but only 2 relatively small pillows).  The bathroom was pretty small, and had the tiniest shower...More"
1,"There was a raging party in the room next to us last night. No one did anything about it. The lobby and the restraunt and bar are lovely. The room needs new flooring, curtains, pillows, and bedding. The shower is tiny and you can hear...More"
4,Our son booked us a room at the Monte Vista because we needed a break.  We sure were happy he did.  We were on the second floor with a bar right below our room.  He was worried that it was going to be too noisy...More
4,"Enjoyed our stay. Room was clean and the bed was comfortable. Bear, in the cocktail bar made our 5 year old, the biggest,  best Shirley Temple ever. Christopher,  from housekeeping,  shared several fun ghost stories and let us see a number of rooms. It was...More"
5,"The Monte vista is a very popular haunted hotel. We stayed in the john Wayne room. Outstanding!  If you take the stairs you might see other ""former guests"" from years gone by. The location is perfect for anything you might want.  The staff is great....More"
4,"My husband and I decided to go to Flagstaff for the first time for my husbands birthday. We didn't book a hotel ahead of time, we thought we would just drive up to Flagstaff and find a place. We weren't very impressed with Flagstaff until...More"
4,"We had a Two Queen Room Suite, w/ connecting bath, dramatically decorated in red. The room and bath were clean. The bed ok. Wifi worked well.  Friendly staff. 

The hotel has a great location. Flagstaff has great shops and restaurants to wondering around within walking...More"
3,I have to start by saying that the staff was GREAT!!  I had an immediate issue with a locking window right when I checked in and two people walked up with me immediately and took care of it (I was not slamming it hard enough)....More
3,"The location is perfect for shops, restaurants and bars, but the hotel feels very dated and even a bit dirty. It has character but the rooms are very dark and weren't very comfortable. We stayed in other old hotels throughout AZ, but they at least...More"
4,"We reserved a room at this place anticipating an elegant ""from another time"" feel, which it very much was not.  However, The rooms were nice, and the bar downstairs seemed very popular with a live band."
2,"The only things redeeming about this hotel are location and the Rendezvous Bar. Otherwise, go somewhere else.   The rooms are VERY worn down and dated, the bathrooms very small, the towels even tinier, I asked for an extra towel or two at the front desk...More"
